Round,team1Name,team1Score,team2Name,team2Score
0,umbc,42.5171787499,virginia,71.5549168465
0,kansas-state,80.3539933571,creighton,76.3199617563
0,kentucky,79.3516812872,davidson,69.9531020552
0,buffalo,74.9513302472,arizona,83.8559655823
0,loyola-il,69.5148279825,miami-florida,69.3516656878
0,tennessee,76.9274071755,wright-state,57.1892199966
0,nevada,72.0068993561,texas,73.3996969579
0,cincinnati,80.8384973788,umbc,52.8990863104
0,xavier,102.458329859,tx southern,68.4383067089
0,florida-state,83.5969934027,missouri,77.7229238618
0,ohio-state,86.2427905022,south-dakota-state,69.8169450285
0,gonzaga,70.704396659,uncg,59.6616384949
0,houston,76.2021039456,sd state,69.1989645143
0,michigan,79.1134941926,montana,60.0409945892
0,texas-am,75.6479377569,providence,70.7678851104
0,unc,99.7889079445,lipscomb,72.9422653391
0,villanova,87.7779646147,radford,57.4596265468
0,alabama,75.5093284481,virginia-tech,76.5170745006
0,west-virginia,87.9071152171,murray-state,70.0889215623
0,marshall,81.5073279578,wichita-state,88.9488807931
0,florida,81.0261899692,st-bonaventure,70.5686635697
0,texas-tech,84.8383057552,stephen-f-austin,62.0145474149
0,butler,85.8564979039,arkansas,78.9807053433
0,purdue,91.8678793461,cs fullerton,65.892927917
0,kansas,87.0921505292,pennsylvania,65.5190075469
0,seton-hall,87.234398286,north-carolina-state,83.4237848189
0,clemson,75.5171523959,new-mexico-state,61.9054641474
0,auburn,88.140371921,col-of-charleston,69.9445984135
0,syracuse,70.8951697519,texas-christian,71.9783019802
0,michigan-state,89.6521972607,bucknell,64.5072277241
0,rhode-island,79.6581946972,oklahoma,82.9174018899
0,duke,95.685800738,iona,70.0517976719
1,virginia,68.6576262889,kansas-state,53.2284211591
1,kentucky,80.8528432956,arizona,75.0292176541
1,loyola-il,64.6700285034,tennessee,67.7372363484
1,texas,59.7143324125,cincinnati,63.8284420838
1,xavier,89.2080535203,florida-state,82.7459159927
1,ohio-state,74.9234166822,gonzaga,70.6583223709
1,houston,68.8296756495,michigan,70.2446771138
1,texas-am,78.0662592271,unc,80.8094898831
1,villanova,86.6221598573,virginia-tech,75.3448286899
1,west-virginia,90.3100894659,wichita-state,79.2639588775
1,florida,69.7329182101,texas-tech,72.0119815876
1,butler,78.4391234662,purdue,78.9909484264
1,kansas,85.2348825984,seton-hall,77.1227536954
1,clemson,80.0516335548,auburn,75.2389479954
1,texas-christian,80.2434240934,michigan-state,80.4881486536
1,oklahoma,85.6476654996,duke,90.8854189051
2,virginia,70.3459507719,kentucky,56.8504499152
2,tennessee,61.3257455775,cincinnati,63.0379253502
2,xavier,81.3810272998,ohio-state,76.5573744738
2,michigan,79.6259942349,unc,73.879109614
2,villanova,86.6842648711,west-virginia,78.16945485
2,texas-tech,77.8739669337,purdue,73.2562779216
2,kansas,77.4068250403,clemson,72.29311508
2,michigan-state,79.4537270661,duke,75.4335463985
3,virginia,57.7648369803,cincinnati,49.3903620611
3,xavier,76.9221170893,michigan,75.1980950046
3,villanova,79.1969853004,texas-tech,71.85317295
3,kansas,79.3694782329,michigan-state,76.8215017277
4,virginia,76.3575737369,xavier,61.8316473209
4,villanova,87.3581185945,kansas,77.3069663074
5,virginia,68.9432718923,villanova,61.9576377729